Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right,class
39.5472,14.41,7.48,3.85,249.59,8.58,319,246.29,147.4,20.57,0,0,0,0,0,0,0,996.6,20.57,0
39.5572,14.41,7.48,3.85,232.43,6.49,323.4,237.16,149.71,73.81,0,0,0,0,0,0,0,974.93,73.81,0
39.5672,14.41,7.48,3.85,212.08,4.29,330.11,225.61,152.02,255.2,6.27,3.74,4.95,0,0,0,0,949.85,270.16,0
39.5772,14.41,7.48,3.85,190.85,0,332.42,214.06,154.33,319.11,33.44,13.2,10.01,0,0,0,0,917.4,375.76,0
39.5872,14.41,7.48,3.85,167.53,0,332.42,200.09,154.33,386.32,67.1,41.8,10.01,0,0,0,0,880.11,505.23,0
39.5972,14.41,7.48,3.85,140.58,0,330.11,183.81,154.33,447.37,109.56,78.98,10.01,0,0,0,0,834.57,645.92,0
39.6072,14.41,7.48,3.85,115.72,0,323.4,169.84,156.53,487.3,159.39,118.36,12.54,0,0,0,0,791.23,777.59,0
39.6172,12.32,7.48,3.85,86.13,0,308,160.71,156.53,480.26,199.54,155.21,15.07,0,0,0,5.5,735.02,855.58,0
39.6272,12.32,7.48,3.85,54.34,0,283.69,151.58,156.53,451.99,226.71,180.73,30.14,0,0,0,0,669.79,889.57,0
39.6372,10.34,7.48,3.85,37.62,4.29,240.02,147.07,152.02,433.18,247.06,194.81,37.73,0,0,0,0,602.69,912.78,0
39.6472,8.25,5.61,3.85,31.35,6.49,178.09,135.74,145.09,414.37,257.29,199.43,45.32,0,0,0,0,514.47,916.41,0
39.6572,4.07,3.74,0,29.26,8.58,121,117.59,133.65,397.98,261.36,199.43,57.97,0,0,0,0,417.89,916.74,0
39.6672,0,0,0,27.17,10.78,76.23,91.74,113.08,386.32,265.43,204.16,67.98,4.18,0,0,0,319,928.07,0
39.6772,0,0,0,22.99,10.78,44.44,58.63,86.9,384.01,271.48,215.82,77.99,10.56,7.48,0,5.5,223.74,972.84,0
39.6872,0,0,0,18.81,8.58,25.41,40.59,56.32,386.32,279.73,229.57,82.94,14.74,17.6,8.03,5.5,149.71,1024.43,0
39.6972,0,0,0,12.54,6.49,16.94,27.06,31.57,390.94,286,243.1,82.94,19.03,22.66,20.13,8.36,94.6,1073.16,0
39.7072,0,0,0,10.45,4.29,12.65,20.24,6.71,393.25,290.07,254.43,82.94,21.12,25.19,30.25,13.86,54.34,1111.11,0
39.7172,0,0,0,8.36,4.29,10.56,15.73,0,395.56,292.16,261.25,85.47,25.41,30.14,38.28,13.86,38.94,1142.13,0
39.7272,0,0,0,8.36,4.29,8.47,13.53,0,395.56,294.25,265.76,85.47,27.5,32.67,44.33,16.72,34.65,1162.26,0
39.7372,0,0,0,8.36,4.29,8.47,11.22,0,393.25,294.25,267.96,88,27.5,35.2,48.4,16.72,32.34,1171.28,0
39.7472,0,0,0,6.27,4.29,6.27,11.22,0,390.94,294.25,267.96,90.53,29.59,37.73,52.47,19.47,28.05,1182.94,0
39.7572,0,0,0,6.27,0,6.27,11.22,0,386.32,294.25,267.96,95.48,31.79,42.79,54.45,19.47,23.76,1192.51,0
39.7672,0,0,0,4.18,0,6.27,9.02,0,381.7,294.25,265.76,98.01,31.79,45.32,56.54,19.47,19.47,1192.84,0
39.7772,0,0,0,4.18,0,4.18,9.02,0,374.88,292.16,258.94,100.54,31.79,47.85,58.85,22.33,17.38,1187.34,0
39.7872,0,0,0,4.18,0,4.18,9.02,0,365.64,287.98,252.12,105.49,33.88,50.38,61.27,22.33,17.38,1179.09,0
39.7972,0,0,0,0,0,4.18,6.71,0,358.82,283.91,249.92,108.02,33.88,52.91,63.69,22.33,10.89,1173.48,0
39.8072,0,0,0,0,0,4.18,6.71,0,349.58,277.64,245.41,110.55,35.97,55.44,68.42,25.08,10.89,1168.09,0
39.8172,0,0,0,0,0,4.18,4.51,0,342.76,271.48,243.1,113.08,38.06,60.28,70.84,27.83,8.69,1167.43,0
39.8272,0,0,0,0,0,0,4.51,0,333.63,267.41,240.9,115.5,38.06,62.7,75.68,27.83,4.51,1161.71,0
39.8372,0,0,0,0,0,0,4.51,0,323.95,259.27,238.59,115.5,42.35,62.7,78.1,27.83,4.51,1148.29,0
39.8472,0,0,0,0,0,0,4.51,0,314.38,253.22,234.08,120.45,42.35,67.54,82.83,30.69,4.51,1145.54,0
39.8572,0,0,0,0,0,0,0,0,302.28,247.06,227.26,125.51,44.44,69.85,87.67,30.69,0,1134.76,0
39.8672,0,0,0,0,0,0,0,0,290.29,238.92,220.55,130.46,46.53,72.27,92.4,33.44,0,1124.86,0
39.8772,0,0,0,0,0,0,0,0,278.3,230.78,211.09,137.94,48.73,77.11,97.24,33.44,0,1114.63,0
39.8872,0,0,0,0,0,0,0,0,266.75,224.62,206.47,142.89,50.82,81.84,101.97,36.19,0,1111.55,0
39.8972,0,0,0,0,0,0,0,0,255.2,216.26,199.43,150.37,52.91,84.26,109.23,39.05,0,1106.71,0
39.9072,0,0,0,0,0,0,0,0,243.65,209.99,192.39,157.85,57.53,91.41,116.27,39.05,0,1108.14,0
39.9172,0,0,0,0,0,0,0,0,232.1,201.63,187.77,165.33,60.06,93.83,123.2,44.66,0,1108.58,0
39.9272,0,0,0,0,0,0,0,0,222.86,195.36,183.04,173.25,62.59,98.67,132.55,44.66,0,1112.98,0
39.9372,0,0,0,0,0,0,0,0,213.51,189.09,178.42,183.81,67.65,103.4,141.9,47.41,0,1125.19,0
39.9472,0,0,0,0,0,0,0,0,201.74,180.73,171.38,191.73,70.18,108.24,148.83,50.16,0,1122.99,0
39.9572,0,0,0,0,0,0,0,0,192.39,172.37,166.76,202.4,75.24,113.08,158.18,55.77,0,1136.19,0
39.9672,0,0,0,0,0,0,0,0,180.73,163.79,157.52,212.96,77.77,118.03,167.53,58.63,0,1136.96,0
39.9772,0,0,0,4.18,0,0,0,0,166.76,152.9,148.28,223.52,82.83,123.09,177.21,64.35,4.18,1138.94,0
39.9872,0,0,0,0,0,0,0,0,150.81,142.01,136.84,235.95,85.25,128.15,189.42,70.18,0,1138.61,0
39.9972,0,0,0,0,0,0,0,0,139.48,129.03,125.29,245.63,90.31,133.21,199.21,78.98,0,1141.14,0
40.0072,0,0,0,0,0,0,0,0,125.84,118.14,113.85,257.73,95.37,138.27,209,84.81,0,1143.01,0
40.0172,0,0,0,0,0,0,0,0,112.09,105.27,100.76,264.99,97.9,143.22,218.68,90.53,0,1133.44,0
40.0272,0,0,0,0,0,0,0,0,97.79,92.51,89.87,274.67,100.43,148.28,230.78,96.36,0,1130.69,0
40.0372,6.16,0,0,0,0,0,0,0,83.38,81.95,76.78,284.79,102.96,153.34,240.35,99.33,6.16,1122.88,0
40.0472,6.16,0,0,0,0,0,0,0,71.5,69.19,65.89,295.02,105.49,158.4,249.92,105.16,6.16,1120.57,0
40.0572,4.07,0,0,0,0,0,0,0,57.2,58.63,53.13,305.36,108.02,163.46,259.6,110.99,4.07,1116.39,0
40.0672,0,0,0,0,0,0,0,0,45.76,48.07,45.54,315.59,108.02,168.52,269.17,113.52,0,1114.19,0
40.0772,0,0,0,0,0,0,0,0,36.52,39.71,36.08,323.29,108.02,175.67,278.63,118.58,0,1116.5,0
40.0872,0,0,0,0,0,0,0,0,29.7,33.44,28.49,330.99,108.02,180.4,287.87,123.64,0,1122.55,0
40.0972,0,0,0,0,0,0,0,0,25.08,27.17,20.9,336.05,105.49,185.13,297,126.17,0,1122.99,0
40.1072,0,0,0,0,0,0,0,0,22.88,20.9,15.18,338.58,102.96,187.44,303.93,128.7,0,1120.57,0
40.1172,0,0,0,0,0,0,0,0,18.26,18.81,13.2,336.05,97.9,192.17,313.17,131.23,0,1120.79,0
40.1272,0,0,0,0,0,0,0,0,18.26,16.72,9.46,333.63,90.31,194.59,317.68,133.76,0,1114.41,0
40.1372,0,0,0,0,0,0,0,0,15.95,14.63,7.59,325.82,82.83,194.59,324.61,133.76,0,1099.78,0
40.1472,4.07,0,0,0,0,0,0,0,15.95,12.54,7.59,313.06,72.71,196.9,326.92,133.76,4.07,1079.43,0
40.1572,28.93,0,0,0,0,0,0,0,13.64,12.54,5.61,300.19,65.12,196.9,331.54,133.76,28.93,1059.3,0
40.1672,84.04,3.74,3.85,0,0,0,0,0,13.64,12.54,5.61,284.79,57.53,199.32,331.54,136.29,91.63,1041.26,0
40.1772,335.83,39.49,33.44,0,0,0,0,0,13.64,10.45,5.61,267.41,48.73,196.9,331.54,136.29,408.76,1010.57,0
40.1872,386.98,74.36,84.04,0,0,0,0,0,13.64,10.45,3.74,245.63,42.35,196.9,329.23,138.82,545.38,980.76,0
40.1972,386.98,114.62,137.28,0,0,0,0,0,11.44,10.45,3.74,220.88,33.88,196.9,324.61,138.82,638.88,940.72,0
40.2072,385,167.53,182.27,0,0,4.18,0,0,11.44,10.45,3.74,191.73,29.59,194.59,313.17,141.35,738.98,896.06,0
40.2172,367.29,204.71,210.65,0,0,0,0,0,11.44,10.45,5.61,157.85,23.21,192.17,297,141.35,782.65,839.08,0
40.2272,341.66,231.77,227.04,22.99,0,0,0,0,11.44,10.45,5.61,127.93,19.03,187.44,276.43,143.88,823.46,782.21,0
40.2372,320.21,252.67,238.37,43.89,0,0,0,0,11.44,10.45,5.61,92.95,14.74,175.67,254.76,143.88,855.14,709.5,0
40.2472,306.57,267.3,245.19,77.66,0,6.27,0,0,9.13,10.45,5.61,57.97,12.65,155.87,233.2,146.41,902.99,631.29,0
40.2572,294.91,269.39,249.81,96.8,0,33.88,0,0,6.82,8.36,3.74,30.14,12.65,118.03,209,143.88,944.79,532.62,0
40.2672,291.06,273.57,258.83,107.36,0,50.82,0,0,4.51,6.27,3.74,25.19,12.65,72.27,169.95,141.35,981.64,435.93,0
40.2772,291.06,281.93,270.27,117.81,0,64.46,9.02,0,4.51,6.27,3.74,20.13,12.65,40.26,109.23,126.17,1034.55,322.96,0
40.2872,291.06,286.11,281.6,121.99,0,76.23,24.75,6.71,0,4.18,3.74,15.07,8.47,25.19,58.85,108.02,1088.45,223.52,0
40.2972,289.08,286.11,293.15,121.99,4.29,80.85,42.79,11.22,0,0,0,12.54,8.47,15.07,36.3,73.15,1129.48,145.53,0
40.3072,287.21,286.11,297.66,123.97,6.49,88,56.32,13.53,0,0,0,10.01,6.27,12.54,22.11,41.8,1159.29,92.73,0
40.3172,285.23,284.02,297.66,128.15,8.58,92.62,63.36,15.73,0,0,0,7.48,4.18,7.48,16.06,19.47,1175.35,54.67,0
40.3272,283.25,281.93,290.84,132.33,8.58,95.04,68.09,15.73,0,0,0,7.48,0,7.48,10.01,0,1175.79,24.97,0
40.3372,277.31,277.75,281.6,138.49,10.78,99.66,72.82,18.04,0,0,0,4.95,0,4.95,10.01,0,1176.45,19.91,0
40.3472,271.26,273.57,270.27,144.76,10.78,102.08,72.82,18.04,0,0,0,4.95,0,4.95,8.03,0,1163.58,17.93,0
40.3572,261.14,265.21,256.63,153.01,10.78,106.7,75.13,20.24,0,0,0,4.95,0,4.95,8.03,0,1148.84,17.93,0
40.3672,253,258.94,245.19,161.26,10.78,111.43,77.55,20.24,0,0,0,4.95,0,4.95,8.03,0,1138.39,17.93,0
40.3772,244.97,250.58,231.55,169.62,10.78,116.16,79.86,22.55,0,0,0,4.95,0,4.95,8.03,0,1126.07,17.93,0
40.3872,236.94,242.22,222.42,178.09,12.98,118.58,82.28,24.75,0,0,0,0,0,4.95,6.05,0,1118.26,11,0
40.3972,228.8,233.86,212.96,184.47,12.98,123.42,84.59,27.06,0,0,0,0,0,0,6.05,0,1108.14,6.05,0
40.4072,220.77,225.5,205.92,190.85,12.98,128.15,89.32,29.26,0,0,0,0,0,0,6.05,0,1102.75,6.05,0
40.4172,212.63,217.14,196.46,199.32,15.18,130.57,91.74,31.57,0,0,0,0,0,0,3.96,0,1094.61,3.96,0
40.4272,204.49,208.89,189.42,205.7,15.18,132.99,94.05,33.77,0,0,0,0,0,0,3.96,0,1084.49,3.96,0
40.4372,196.46,200.64,179.96,212.08,15.18,137.72,98.78,36.08,0,0,0,0,0,0,3.96,0,1076.9,3.96,0
40.4472,188.32,192.28,172.81,220.55,17.27,142.56,101.2,38.28,0,0,0,0,0,0,0,0,1073.27,0,0
40.4572,178.2,181.94,163.68,228.58,17.27,144.98,103.51,40.59,0,0,0,0,0,0,0,0,1058.75,0,0
40.4672,170.06,173.69,157.08,236.28,17.27,149.71,105.93,42.79,0,0,0,0,0,0,0,0,1052.81,0,0
40.4772,160.05,165.22,148.28,245.85,19.47,154.55,110.66,47.3,0,0,0,0,0,0,0,0,1051.38,0,0
40.4872,152.13,156.42,141.68,253.44,19.47,156.97,113.08,49.61,0,0,0,0,0,0,0,0,1042.8,0,0
40.4972,144.21,147.62,135.08,261.14,21.67,161.7,117.59,54.12,0,0,0,0,0,0,0,0,1043.13,0,0
40.5072,136.18,141.02,130.68,268.73,21.67,168.96,122.1,56.32,0,0,0,0,0,0,0,0,1045.66,0,0
40.5172,128.26,132.22,124.08,276.43,21.67,173.47,128.92,58.63,0,0,0,0,0,0,0,0,1043.68,0,0
40.5272,122.32,127.82,119.68,282.7,23.87,178.09,135.74,62.92,0,0,0,0,0,0,0,0,1053.14,0,0
40.5372,114.4,121.22,115.28,291.17,25.96,182.71,142.56,67.32,0,0,0,0,0,0,0,0,1060.62,0,0
40.5472,108.02,114.62,110.77,297.55,25.96,187.22,149.38,69.41,0,0,0,0,0,0,0,0,1062.93,0,0
40.5572,101.42,108.13,108.57,303.93,28.16,191.84,156.09,73.81,0,0,0,0,0,0,0,0,1071.95,0,0
40.5672,94.93,102.19,101.86,310.31,30.36,196.46,162.91,76.01,0,0,0,0,0,0,0,0,1075.03,0,0
40.5772,86.24,96.25,97.46,316.69,30.36,200.97,169.84,80.3,0,0,0,0,0,0,0,0,1078.11,0,0
40.5872,79.64,90.31,92.95,323.07,32.56,205.59,176.77,82.5,0,0,0,0,0,0,0,0,1083.39,0,0
40.5972,70.95,82.28,86.24,327.25,34.65,210.21,183.81,84.7,0,0,0,0,0,0,0,0,1080.09,0,0
40.6072,62.26,76.34,79.53,333.63,34.65,214.72,190.74,89.1,0,0,0,0,0,0,0,0,1080.97,0,0
40.6172,51.7,68.42,72.93,340.01,36.85,219.34,197.78,91.19,0,0,0,0,0,0,0,0,1078.22,0,0
40.6272,45.54,60.5,66.22,346.39,36.85,223.96,204.71,93.39,0,0,0,0,0,0,0,0,1077.56,0,0
40.6372,39.27,52.69,57.31,350.57,36.85,230.78,209.44,95.59,0,0,0,0,0,0,0,0,1072.5,0,0
40.6472,35.09,47.08,49.17,356.95,36.85,235.4,214.06,97.79,0,0,0,0,0,0,0,0,1072.39,0,0
40.6572,31.02,39.49,43.23,361.24,36.85,240.02,220.99,102.08,0,0,0,0,0,0,0,0,1074.92,0,0
40.6672,28.93,35.75,35.42,363.33,36.85,246.95,225.61,106.48,0,0,0,0,0,0,0,0,1079.32,0,0
40.6772,24.75,30.14,27.5,367.62,36.85,253.88,230.23,110.88,0,0,0,0,0,0,0,0,1081.85,0,0
40.6872,22.77,26.29,23.54,367.62,34.65,258.5,237.16,113.08,0,0,0,0,0,0,0,0,1083.61,0,0
40.6972,20.68,20.68,17.71,367.62,34.65,265.43,241.78,117.59,0,0,0,0,0,0,0,0,1086.14,0,0
40.7072,18.59,16.94,15.73,365.42,32.56,272.36,248.6,122.21,0,0,0,0,0,0,0,0,1092.41,0,0
40.7171,16.5,15.07,11.77,359.04,28.16,279.29,253.22,129.03,0,0,0,0,0,0,0,0,1092.08,0,0
40.7271,16.5,11.22,9.79,350.57,25.96,285.89,257.84,133.65,0,0,0,0,0,0,0,0,1091.42,0,0
40.7371,14.41,9.35,7.81,340.01,21.67,294.69,260.15,140.58,0,0,0,0,0,0,0,0,1088.67,0,0
40.7471,14.41,9.35,5.83,325.16,19.47,301.29,260.15,145.09,0,0,0,0,0,0,0,0,1080.75,0,0
40.7571,14.41,7.48,5.83,306.02,15.18,310.2,260.15,149.71,0,0,0,0,0,0,0,0,1068.98,0,0
40.7671,14.41,7.48,5.83,286.99,10.78,316.8,255.53,154.33,0,0,0,0,0,0,0,0,1052.15,0,0
40.7771,12.32,7.48,3.85,266.86,8.58,325.6,253.22,158.84,0,0,0,0,0,0,0,0,1036.75,0,0
40.7871,14.41,7.48,3.85,245.85,6.49,332.42,248.6,161.15,11.44,0,0,0,0,0,0,0,1020.25,11.44,0
40.7971,14.41,7.48,3.85,224.84,4.29,339.46,243.98,165.77,52.58,0,0,0,0,0,0,0,1004.08,52.58,0
40.8071,14.41,7.48,3.85,199.32,0,341.77,237.16,168.08,171.38,0,0,0,0,0,0,0,972.07,171.38,0
40.8171,12.32,7.48,3.85,176,0,344.19,227.92,170.39,280.72,0,0,4.95,0,0,0,0,942.15,285.67,0
40.8271,14.41,7.48,3.85,150.92,0,341.77,218.68,172.7,361.13,33.44,17.05,4.95,0,0,0,0,909.81,416.57,0
40.8371,14.41,7.48,3.85,123.97,0,337.15,204.71,175.12,449.68,64.9,51.26,0,0,0,0,0,866.69,565.84,0
40.8471,12.32,7.48,3.85,96.8,0,327.8,190.74,175.12,499.07,98.89,92.07,4.95,0,0,0,0,814.11,694.98,0
40.8571,12.32,7.48,3.85,69.19,0,312.4,179.08,175.12,514.03,137.72,136.84,7.48,0,0,0,0,759.44,796.07,0
40.8671,12.32,7.48,3.85,41.8,0,283.69,172.15,175.12,484.88,176.55,173.69,15.07,0,0,0,0,696.41,850.19,0
40.8771,10.34,7.48,3.85,31.35,0,228.47,165.22,170.39,459.03,209.99,201.74,37.73,0,0,0,0,617.1,908.49,0
40.8871,8.25,5.61,0,29.26,4.29,164.12,151.58,163.46,435.6,236.83,220.55,50.38,4.18,0,0,0,526.57,947.54,0
40.8971,6.16,3.74,0,27.17,8.58,116.16,131.23,149.71,416.79,249.04,229.57,67.98,8.47,4.95,0,5.5,442.75,982.3,0
40.9071,0,0,0,25.08,10.78,78.54,101.2,131.34,400.29,257.29,231.77,88,14.74,7.48,0,5.5,346.94,1005.07,0
40.9171,0,0,0,22.99,10.78,44.44,68.09,104.28,390.94,267.41,236.28,98.01,21.12,17.6,8.03,8.36,250.58,1047.75,0
40.9271,0,0,0,18.81,10.78,27.5,47.3,73.81,384.01,273.57,243.1,108.02,25.41,25.19,22.11,8.36,178.2,1089.77,0
40.9371,0,0,0,12.54,8.58,19.03,31.57,42.79,377.08,277.64,247.61,113.08,29.59,30.14,36.3,16.72,114.51,1128.16,0
40.9471,0,0,0,10.45,6.49,14.74,24.75,13.53,372.57,279.73,252.12,118.03,33.88,37.73,48.4,16.72,69.96,1159.18,0
40.9571,0,0,0,8.36,4.29,10.56,18.04,0,370.26,279.73,256.63,122.98,35.97,45.32,54.45,19.47,41.25,1184.81,0
40.9671,0,0,0,8.36,4.29,8.47,13.53,0,370.26,281.82,261.25,125.51,38.06,50.38,61.27,22.33,34.65,1210.88,0
40.9771,0,0,0,8.36,4.29,8.47,13.53,0,365.64,281.82,261.25,130.46,38.06,55.44,66.11,22.33,34.65,1221.11,0
40.9871,0,0,0,6.27,4.29,6.27,11.22,0,361.13,279.73,256.63,135.41,40.26,60.28,66.11,25.08,28.05,1224.63,0
40.9971,0,0,0,6.27,0,6.27,9.02,0,354.2,277.64,249.92,140.36,40.26,62.7,68.42,25.08,21.56,1218.58,0
41.0071,0,0,0,4.18,0,6.27,9.02,0,345.07,273.57,243.1,145.42,40.26,67.54,68.42,25.08,19.47,1208.46,0
41.0171,0,0,0,4.18,0,4.18,6.71,0,335.83,267.41,234.08,150.37,40.26,69.85,68.42,27.83,15.07,1194.05,0
41.0271,0,0,0,4.18,0,4.18,6.71,0,326.37,263.34,227.26,155.32,40.26,72.27,70.84,27.83,15.07,1183.49,0
41.0371,0,0,0,0,0,4.18,4.51,0,316.69,257.29,220.55,157.85,42.35,72.27,70.84,27.83,8.69,1165.67,0
41.0471,0,0,0,0,0,0,4.51,0,309.54,251.13,215.82,160.27,42.35,74.69,73.26,30.69,4.51,1157.75,0
41.0571,0,0,0,0,0,0,4.51,0,299.86,244.97,211.09,165.33,42.35,77.11,75.68,30.69,4.51,1147.08,0
41.0671,0,0,0,0,0,0,0,0,292.71,238.92,206.47,167.97,44.44,79.53,78.1,30.69,0,1138.83,0
41.0771,0,0,0,0,0,0,0,0,285.45,234.85,201.74,170.61,46.53,81.84,80.41,33.44,0,1134.87,0
41.0871,0,0,0,0,0,0,0,0,278.3,228.69,199.43,175.89,46.53,81.84,80.41,33.44,0,1124.53,0
41.0971,0,0,0,0,0,0,0,0,273.68,224.62,194.81,178.53,46.53,84.26,82.83,33.44,0,1118.7,0
41.1071,0,0,0,0,0,0,0,0,266.75,220.44,190.08,183.81,48.73,86.68,87.67,36.19,0,1120.35,0
41.1171,0,0,0,0,0,0,0,0,259.82,214.17,187.77,189.09,50.82,91.41,89.98,36.19,0,1119.25,0
41.1271,0,0,0,0,0,0,0,0,250.58,207.9,183.04,194.37,50.82,93.83,92.4,39.05,0,1111.99,0
41.1371,0,0,0,0,0,0,0,0,243.65,203.72,178.42,202.4,52.91,98.67,99.66,39.05,0,1118.48,0
41.1471,0,0,0,0,0,0,0,0,236.72,199.54,176.11,207.68,55.11,101.09,101.97,41.8,0,1120.02,0
41.1571,0,0,0,0,0,0,0,0,229.79,193.27,171.38,215.6,57.53,103.4,106.81,41.8,0,1119.58,0
41.1671,0,0,0,0,0,0,0,0,222.86,189.09,169.07,223.52,60.06,108.24,111.65,44.66,0,1129.15,0
41.1771,0,0,0,0,0,0,0,0,215.82,184.91,166.76,228.69,60.06,110.66,118.58,44.66,0,1130.14,0
41.1871,0,0,0,0,0,0,0,0,208.78,178.64,164.45,235.95,62.59,115.5,123.2,47.41,0,1136.52,0
41.1971,0,0,0,0,0,0,0,0,204.16,174.46,162.14,243.21,65.12,118.03,130.24,47.41,0,1144.77,0
41.2071,0,0,0,0,0,0,0,0,194.81,170.28,157.52,248.05,67.65,123.09,134.86,50.16,0,1146.42,0
41.2171,0,0,0,0,0,0,0,0,187.77,163.79,152.9,255.31,70.18,125.62,139.59,50.16,0,1145.32,0
41.2271,0,0,0,0,0,0,0,0,180.73,157.3,148.28,260.15,72.71,128.15,146.52,53.02,0,1146.86,0
41.2371,0,0,0,0,0,0,0,0,171.38,150.7,141.35,264.99,75.24,130.68,151.14,55.77,0,1141.25,0
41.2471,0,0,0,0,0,0,0,0,159.94,142.01,134.53,272.25,77.77,133.21,158.18,55.77,0,1133.66,0
41.2571,0,0,0,0,0,0,0,0,150.81,133.32,127.6,277.09,82.83,135.74,165.11,58.63,0,1131.13,0
41.2671,0,0,0,0,0,0,0,0,137.17,122.54,118.36,284.79,85.25,140.8,174.79,64.35,0,1128.05,0
41.2771,0,0,0,0,0,0,0,0,125.84,113.85,107.25,292.49,87.78,143.22,184.58,67.32,0,1122.33,0
41.2871,0,0,0,0,0,0,0,0,112.09,101.09,96.36,302.72,92.84,148.28,196.79,73.15,0,1123.32,0
41.2971,0,0,0,0,0,0,0,0,97.79,88.33,85.47,310.42,95.37,153.34,211.42,78.98,0,1121.12,0
41.3071,0,0,0,0,0,0,0,0,83.38,77.66,74.69,320.76,100.43,158.4,223.52,81.84,0,1120.68,0
41.3171,0,0,0,0,0,0,0,0,66.66,67.1,63.8,330.99,102.96,163.46,237.93,87.67,0,1120.57,0
41.3271,0,0,0,0,0,0,0,0,52.58,56.43,51.26,338.58,105.49,168.52,249.92,93.5,0,1116.28,0
41.3371,0,0,0,0,0,0,0,0,41.14,45.98,41.8,348.48,105.49,173.36,264.33,96.36,0,1116.94,0
41.3471,0,0,0,0,0,0,0,0,34.32,37.62,30.36,353.54,105.49,178.09,278.63,102.19,0,1120.24,0
41.3571,0,0,0,0,0,0,0,0,29.7,29.26,22.77,361.02,105.49,182.82,292.49,105.16,0,1128.71,0
41.3671,0,0,0,0,0,0,0,0,25.08,22.99,17.05,363.44,105.49,185.13,306.24,108.02,0,1133.44,0
41.3771,0,0,0,0,0,0,0,0,20.57,20.9,13.2,363.44,102.96,189.86,319.99,113.52,0,1144.44,0
41.3871,0,0,0,0,0,0,0,0,18.26,16.72,9.46,361.02,97.9,194.59,331.54,116.05,0,1145.54,0
41.3971,0,0,0,0,0,0,0,0,15.95,14.63,7.59,355.96,90.31,196.9,340.56,118.58,0,1140.48,0
41.4071,20.68,0,0,0,0,0,0,0,15.95,14.63,5.61,343.53,82.83,196.9,347.27,121.11,20.68,1127.83,0
41.4171,53.79,0,0,0,0,0,0,0,13.64,12.54,5.61,328.46,72.71,199.32,351.89,121.11,53.79,1105.28,0
41.4271,267.19,26.29,29.48,0,0,0,0,0,13.64,12.54,5.61,307.89,62.59,201.63,356.4,123.64,322.96,1083.94,0
41.4371,347.6,52.69,81.84,0,0,0,0,0,13.64,12.54,5.61,284.79,50.82,201.63,356.4,123.64,482.13,1049.07,0
41.4471,351.56,84.37,135.08,0,0,0,0,0,13.64,12.54,3.74,257.73,42.35,201.63,351.89,126.17,571.01,1009.69,0
41.4571,359.37,127.82,184.69,0,0,0,0,0,13.64,10.45,3.74,228.69,35.97,201.63,342.76,128.7,671.88,965.58,0
41.4671,349.58,171.6,217.69,0,0,0,0,0,11.44,12.54,3.74,194.37,27.5,201.63,326.92,131.23,738.87,909.37,0
41.4771,329.89,196.46,240.68,8.36,0,0,0,0,11.44,10.45,3.74,157.85,21.12,199.32,303.93,133.76,775.39,841.61,0
41.4871,308.55,210.98,252.01,25.08,0,0,0,0,11.44,10.45,3.74,122.98,16.94,192.17,283.25,136.29,796.62,777.26,0
41.4971,294.91,221.32,261.14,41.8,0,4.18,0,0,11.44,10.45,3.74,85.47,14.74,178.09,262.02,138.82,823.35,704.77,0
41.5071,285.23,227.59,267.96,54.34,0,25.41,0,0,9.13,8.36,3.74,47.85,14.74,153.34,242.77,138.82,860.53,618.75,0
41.5171,277.31,229.68,272.47,58.63,0,40.26,4.51,0,6.82,6.27,3.74,32.67,14.74,108.24,211.42,136.29,882.86,520.19,0
41.5271,273.24,233.86,279.29,62.81,0,50.82,20.24,0,4.51,6.27,3.74,27.72,16.94,67.54,162.8,131.23,920.26,420.75,0
41.5371,273.24,242.22,288.53,67.1,0,57.42,36.08,6.71,0,4.18,3.74,17.6,12.65,40.26,97.24,116.05,971.3,291.72,0
41.5471,275.22,248.49,302.28,69.19,4.29,64.46,49.61,9.02,0,0,0,15.07,10.56,25.19,52.47,93.5,1022.56,196.79,0
41.5571,277.31,252.67,313.83,71.28,6.49,66.77,60.94,9.02,0,0,0,10.01,8.47,15.07,28.27,61.49,1058.31,123.31,0
41.5671,279.29,256.85,320.65,73.48,8.58,71.5,68.09,11.22,0,0,0,7.48,6.27,10.01,18.15,27.83,1089.66,69.74,0
41.5771,279.29,258.94,322.96,77.66,8.58,76.23,75.13,13.53,0,0,0,7.48,4.18,7.48,12.1,5.5,1112.32,36.74,0
41.5871,279.29,261.03,322.96,81.95,8.58,78.54,79.86,13.53,0,0,0,4.95,0,4.95,10.01,0,1125.74,19.91,0
41.5971,279.29,263.12,320.65,86.13,10.78,83.27,84.59,15.73,0,0,0,4.95,0,4.95,10.01,0,1143.56,19.91,0
41.6071,277.31,265.21,313.83,92.51,10.78,88,84.59,15.73,0,0,0,4.95,0,4.95,8.03,0,1147.96,17.93,0
41.6171,275.22,263.12,304.59,100.98,10.78,90.31,84.59,18.04,0,0,0,4.95,0,0,8.03,0,1147.63,12.98,0
